session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,cluster
325,13.11044,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
326,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
327,149.86615,12,2,1,1,14,7595.44,7595.44,58.6,632.9533333333333,3797.72,3797.72,14,2
328,655.016008,33,1,0,0,33,7595.44,7595.44,58.6,230.16484848484848,7595.44,7595.44,33,0
329,1549.93043,42,5,5,5,52,7595.44,7595.44,58.60000000000001,180.8438095238095,1519.088,1265.9066666666663,52,0
330,1010.477819,14,2,1,1,16,7595.44,7595.44,58.6,542.5314285714286,3797.72,3797.72,16,0
331,3706.105199,87,5,15,14,116,7595.439999999999,7595.44,58.6,87.303908045977,1519.0879999999995,474.7149999999999,116,1
332,604.389088,15,1,0,0,15,7595.44,7595.44,58.6,506.36266666666666,7595.44,7595.44,15,2
333,123.874226,6,1,0,0,6,7595.44,7595.44,58.6,1265.9066666666663,7595.44,7595.44,6,2
334,555.968559,12,2,2,2,16,7595.44,7595.44,58.6,632.9533333333333,3797.72,2531.813333333333,16,0
335,49.454551,8,2,1,1,10,7595.44,7595.44,58.6,949.43,3797.72,3797.72,10,2
336,179.609977,9,2,4,4,17,7595.439999999999,7595.44,58.6,843.9377777777777,3797.7199999999993,1519.0879999999995,17,0
337,74.937457,6,1,0,0,6,7595.44,7595.44,58.6,1265.9066666666663,7595.44,7595.44,6,2
338,0.0,2,2,1,0,3,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,3,2
339,41.358445,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
340,174.206762,15,3,4,4,23,7595.44,7595.44,58.6,506.36266666666666,2531.813333333333,1519.088,23,0
341,155.499673,4,3,2,2,8,7595.44,7595.44,58.6,1898.86,2531.813333333333,2531.813333333333,8,2
342,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
343,1.223651,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
344,3.555119,5,2,1,1,7,7595.44,7595.44,58.6,1519.088,3797.72,3797.72,7,2
345,313.290137,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
346,387.057642,29,5,8,7,44,7595.44,7595.44,58.6,261.911724137931,1519.088,843.9377777777777,44,0
347,488.643157,8,3,3,3,14,7595.44,7595.44,58.6,949.43,2531.813333333333,1898.86,14,0
348,1365.757516,31,2,1,1,33,7595.44,7595.44,58.6,245.01419354838708,3797.72,3797.72,33,0
349,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
350,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
351,1.217058,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
352,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
353,244.871644,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
354,12.896684,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
355,26.548473,8,2,1,0,9,7595.44,7595.44,58.6,949.43,3797.72,3797.72,9,2
356,1284.208503,32,3,5,4,41,7595.44,7595.44,58.6,237.3575,2531.813333333333,1265.9066666666663,41,0
357,970.987862,10,1,0,0,10,7595.44,7595.44,58.6,759.544,7595.44,7595.44,10,2
358,744.299283,12,2,1,1,14,7595.44,7595.44,58.6,632.9533333333333,3797.72,3797.72,14,0
359,3100.345406,55,4,6,6,67,7595.44,7595.44,58.6,138.09890909090907,1898.86,1085.0628571428572,67,0
360,101.919925,10,3,2,2,14,7595.44,7595.44,58.6,759.544,2531.813333333333,2531.813333333333,14,0
361,0.500069,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
362,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
363,118.437105,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
364,1677.038325,38,3,2,2,42,7595.44,7595.44,58.6,199.88,2531.813333333333,2531.813333333333,42,0
365,36.541515,9,2,1,1,11,7595.439999999999,7595.44,58.6,843.9377777777777,3797.7199999999993,3797.7199999999993,11,2
366,892.846059,20,2,1,1,22,7595.44,7595.44,58.6,379.772,3797.72,3797.72,22,0
367,142.28982,12,1,0,0,12,7595.44,7595.44,58.6,632.9533333333333,7595.44,7595.44,12,2
368,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
369,924.479174,34,5,10,10,54,7595.44,7595.44,58.6,223.39529411764704,1519.088,690.4945454545455,54,0
370,128.28922,4,3,2,2,8,7595.44,7595.44,58.6,1898.86,2531.813333333333,2531.813333333333,8,2
371,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
372,826.284725,40,4,7,7,54,7595.44,7595.44,58.6,189.886,1898.86,949.43,54,0
373,308.133535,9,1,0,0,9,7595.439999999999,7595.44,58.6,843.9377777777777,7595.439999999999,7595.439999999999,9,2
374,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
375,3.817732,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
376,102.908361,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
377,1425.609053,7,3,3,3,13,7595.44,7595.44,58.6,1085.0628571428572,2531.813333333333,1898.86,13,0
378,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
379,4.813558,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,2
380,0.336098,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
381,0.159331,3,2,2,0,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,5,2
382,450.807986,13,1,0,0,13,7595.44,7595.44,58.60000000000001,584.2646153846155,7595.44,7595.44,13,2
383,20.881157,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
384,603.44301,60,3,4,4,68,7595.44,7595.44,58.6,126.59066666666666,2531.813333333333,1519.088,68,0
385,450.134298,8,1,0,0,8,7595.44,7595.44,58.6,949.43,7595.44,7595.44,8,2
386,1.612399,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
387,453.698623,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
388,424.697423,9,3,3,3,15,7595.439999999999,7595.44,58.6,843.9377777777777,2531.813333333333,1898.86,15,0
389,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
390,262.018682,14,2,2,2,18,7595.44,7595.44,58.6,542.5314285714286,3797.72,2531.813333333333,18,0
391,1.421804,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
392,227.557682,11,2,2,2,15,7595.44,7595.44,58.6,690.4945454545455,3797.72,2531.813333333333,15,2
393,1249.536309,15,2,2,2,19,7595.44,7595.44,58.6,506.36266666666666,3797.72,2531.813333333333,19,0
394,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
395,67.48473,8,4,5,0,13,7595.44,7595.44,58.6,949.43,1898.86,1265.9066666666663,13,0
396,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
397,83.283107,8,3,3,3,14,7595.44,7595.44,58.6,949.43,2531.813333333333,1898.86,14,0
398,217.9851,18,4,4,3,25,7595.439999999999,7595.44,58.6,421.9688888888888,1898.86,1519.0879999999995,25,0
399,323.393778,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
400,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
401,3.752422,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
402,32.862516,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,2
403,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
404,34.499666,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
405,0.0,5,1,0,0,5,7595.44,7595.44,58.6,1519.088,7595.44,7595.44,5,2
406,2.133439,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
407,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
408,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
409,701.063029,18,4,3,3,24,7595.439999999999,7595.44,58.6,421.9688888888888,1898.86,1898.86,24,0
410,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
411,61.880671,10,1,0,0,10,7595.44,7595.44,58.6,759.544,7595.44,7595.44,10,2
412,0.0,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
413,1.848011,6,1,0,0,6,7595.44,7595.44,58.6,1265.9066666666663,7595.44,7595.44,6,2
414,10.090053,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
415,45.096303,10,2,1,1,12,7595.44,7595.44,58.6,759.544,3797.72,3797.72,12,2
416,858.214808,106,4,5,5,116,7595.44,7595.44,58.6,71.65509433962265,1898.86,1265.9066666666668,116,1
417,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
418,27.930372,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
419,1925.336369,66,2,4,4,74,7595.44,7595.44,58.6,115.08242424242424,3797.72,1519.088,74,0
420,0.0,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
421,197.274209,8,1,0,0,8,7595.44,7595.44,58.6,949.43,7595.44,7595.44,8,2
422,97.44955,17,4,3,3,23,7595.44,7595.44,58.6,446.7905882352941,1898.86,1898.86,23,0
423,29.577131,15,3,7,7,29,7595.44,7595.44,58.6,506.36266666666666,2531.813333333333,949.43,29,0
424,0.408146,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
425,383.403237,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
