session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,anomaly_score,is_anomaly
274,19.54055,5,3,2,2,9,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,9,0.07825548101603859,False
275,368.891855,5,2,1,1,7,7595.44,7595.44,58.6,1519.088,3797.72,3797.72,7,0.03180424670340589,False
276,255.699987,6,1,0,0,6,7595.44,7595.44,58.6,1265.9066666666663,7595.44,7595.44,6,0.04170129427514063,False
277,29.116105,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004658890069241324,False
278,4111.404483,72,1,0,0,72,7595.439999999999,7595.44,58.6,105.4922222222222,7595.439999999999,7595.439999999999,72,2.6419752674737684,True
279,1132.845649,19,1,0,0,19,7595.44,7595.44,58.6,399.76,7595.44,7595.44,19,0.290319171798871,False
280,1972.811453,46,3,6,6,58,7595.44,7595.44,58.6,165.1182608695652,2531.813333333333,1085.0628571428572,58,0.18540194695854922,False
281,502.576034,10,3,2,2,14,7595.44,7595.44,58.6,759.544,2531.813333333333,2531.813333333333,14,0.07391339752944528,False
282,245.251475,4,2,2,2,8,7595.44,7595.44,58.6,1898.86,3797.72,2531.813333333333,8,0.03523647653927686,False
283,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
284,116.402772,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.005915405812944862,False
285,1075.980734,9,1,0,0,9,7595.439999999999,7595.44,58.6,843.9377777777777,7595.439999999999,7595.439999999999,9,0.22761350685721468,False
286,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
287,4.01333,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004646018110429568,False
288,853.022725,3,3,2,1,6,7595.44,7595.44,58.6,2531.813333333333,2531.813333333333,2531.813333333333,6,0.15046361314045018,False
289,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
290,7826.137096,53,4,5,3,61,7595.44,7595.44,58.6,143.3101886792453,1898.86,1265.9066666666668,61,3.339491599172327,True
291,2.293627,5,2,1,0,6,7595.44,7595.44,58.6,1519.088,3797.72,3797.72,6,0.017174961456236964,False
292,1395.072058,8,3,7,7,22,7595.44,7595.44,58.6,949.43,2531.813333333333,949.43,22,0.31146663046514694,False
293,0.501517,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.019882413332672388,False
294,121.803481,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.02940694575764314,False
295,22.629178,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004640648214556034,False
296,31.250856,5,3,2,1,8,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,8,0.08342000208245845,False
297,572.402098,16,6,8,7,31,7595.44,7595.44,58.6,474.715,1265.9066666666663,843.9377777777777,31,0.6033385221123185,True
298,4602.082856,40,9,19,18,77,7595.44,7595.44,58.6,189.886,843.9377777777777,379.772,77,0.920912189726969,True
299,3588.251022,56,3,3,1,60,7595.44,7595.44,58.6,135.63285714285715,2531.813333333333,1898.86,60,0.8621975563907609,True
300,3085.106673,27,3,3,0,30,7595.439999999999,7595.44,58.6,281.3125925925925,2531.813333333333,1898.86,30,0.476551625450131,False
301,3344.539846,44,3,4,0,48,7595.44,7595.44,58.6,172.62363636363636,2531.813333333333,1519.088,48,0.5174223116152356,False
302,7519.447328,107,10,21,13,141,7595.44,7595.44,58.6,70.98542056074766,759.544,345.2472727272728,141,0.4388607941486694,False
