session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,cluster,cluster_label
544,1.0,3,2,2,2,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,7,5.0,0.0007161200045258,True,0,Casual Browsing
545,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0,Casual Browsing
546,678.569837,7,3,3,2,9,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1745.5175,12,0.0132631890031976,0.0012890160081465,True,0,Casual Browsing
547,54.967403,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.0909630021996855,0.0007161200045258,True,0,Casual Browsing
548,68.905192,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,0.0580507779442803,0.0005728960036207,True,0,Casual Browsing
549,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
550,1003.948885,24,4,8,1,26,6982.07,6982.07,42.79999999999999,290.9195833333333,1745.5175,775.7855555555556,33,0.0258977328312885,0.0037238240235345,True,0,Casual Browsing
519,158.962321,2,2,2,0,3,6982.07,6982.07,42.8,3491.035,3491.035,2327.3566666666666,4,0.0188723968115689,0.0004296720027155,True,0,Casual Browsing
520,61.880671,10,1,1,1,12,6982.07,6982.07,42.8,698.207,6982.07,3491.035,12,0.193921620533171,0.0017186880108621,True,0,Casual Browsing
521,1.0,3,2,2,2,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,7,5.0,0.0007161200045258,True,0,Casual Browsing
522,8.860966,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,0.5642725635105699,0.0007161200045258,True,0,Casual Browsing
523,21.462615,8,2,4,0,9,6982.07,6982.07,42.8,872.75875,3491.035,1396.414,12,0.4193338043849736,0.0012890160081465,True,0,Casual Browsing
524,1.848011,6,1,1,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,6982.07,3491.035,7,3.787856241115448,0.0010025680063362,True,0,Casual Browsing
525,994.403864,12,2,2,0,13,6982.07,6982.07,42.79999999999999,581.8391666666666,3491.035,2327.3566666666666,14,0.0130731591767024,0.0018619120117672,True,0,Casual Browsing
8,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0,Casual Browsing
557,906.51952,4,2,2,1,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,7,0.0055156010319557,0.0007161200045258,True,0,Casual Browsing
558,215.400794,3,1,1,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,5,0.0232125421041855,0.0007161200045258,True,0,Casual Browsing
559,1.0,3,2,2,2,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,7,5.0,0.0007161200045258,True,0,Casual Browsing
560,499.100597,14,5,7,2,16,6982.07,6982.07,42.8,498.7192857142857,1396.414,872.75875,23,0.0320576655210853,0.0022915840144828,True,0,Casual Browsing
561,828.565997,31,8,10,6,33,6982.07,6982.07,42.8,225.22806451612905,872.75875,634.7336363636364,47,0.0398278472921692,0.0047263920298707,True,0,Casual Browsing
562,125.005716,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0239989025781829,0.0004296720027155,True,0,Casual Browsing
