session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,anomaly_score,is_anomaly
27,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
28,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
60,43.717691,3,2,3,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,6,0.0914961405441106,0.0005728960036207,True,0.002846169677952074,False
61,6.790525,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,0.5890560744566878,0.0005728960036207,True,0.003423881072215896,False
62,265.448735,8,3,3,0,9,6982.07,6982.07,42.8,872.75875,2327.3566666666666,1745.5175,11,0.0339048517221225,0.0012890160081465,True,0.004359012209319205,False
63,22.319508,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.2240192749768498,0.0007161200045258,True,0.0011406030612191433,False
64,748.851908,6,3,4,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1396.414,10,0.0093476426049247,0.0010025680063362,True,0.019118828559047008,False
65,112.199848,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,0.0356506721827288,0.0005728960036207,True,0.004256263350852782,False
66,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
67,146.514484,4,3,3,0,5,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1745.5175,7,0.0341263188696074,0.0007161200045258,True,0.010489772452385932,False
68,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0.0005355166599744558,False
70,488.517435,8,1,0,0,8,6982.07,6982.07,42.8,872.75875,6982.07,6982.07,8,0.0163760787780276,0.0011457920072414,True,0.02560608406624965,False
39,6.911374,6,2,2,1,8,6982.07,6982.07,42.79999999999999,1163.6783333333333,3491.035,2327.3566666666666,9,1.1575122399684925,0.0011457920072414,True,0.0038571375757242396,False
40,1715.608492,35,4,8,0,36,6982.07,6982.07,42.8,199.48771428571428,1745.5175,775.7855555555556,43,0.0209838084667163,0.0051560640325863,True,0.05387303083893491,False
41,1.0,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,5.0,0.0007161200045258,True,0.0019624949747143417,False
42,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
43,2348.119522,23,6,8,0,24,6982.07,6982.07,42.8,303.5682608695652,1163.6783333333333,775.7855555555556,31,0.0102209447922642,0.0034373760217242,True,0.15845044079613427,False
44,1760.202533,14,6,8,0,15,6982.07,6982.07,42.8,498.7192857142857,1163.6783333333333,775.7855555555556,22,0.0085217466278921,0.0021483600135776,True,0.10774300549424225,False
75,317.374383,3,2,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,3491.035,4,0.0126034116622449,0.0005728960036207,True,0.007222945788317973,False
76,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0.0005355187794550065,False
77,1109.614066,7,3,4,2,8,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1396.414,13,0.0072097139403061,0.0011457920072414,True,0.0380630560224965,False
78,2260.44683,9,3,3,0,10,6982.07,6982.07,42.8,775.7855555555556,2327.3566666666666,1745.5175,12,0.0044239041004118,0.0014322400090517,True,0.2856098866508886,False
80,73.349988,4,3,4,1,6,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1396.414,9,0.0817996043843933,0.000859344005431,True,0.013645633415660703,False
81,207.429685,16,2,3,0,17,6982.07,6982.07,42.8,436.379375,3491.035,1745.5175,19,0.0819554828905033,0.0024348080153879,True,0.03665882703804731,False
82,69.813045,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.0716198527080433,0.0007161200045258,True,0.0006244598857683129,False
83,73.295929,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0409299676111616,0.0004296720027155,True,0.002018037738353106,False
84,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
85,665.432265,7,3,3,0,8,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1745.5175,10,0.0120222604475002,0.0011457920072414,True,0.010484811716364287,False
86,47.559676,3,2,3,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,6,0.0841048622787085,0.0005728960036207,True,0.0028074313033439055,False
55,925.115684,7,5,6,2,9,6982.07,6982.07,42.8,997.4385714285714,1396.414,997.4385714285714,15,0.0097285130450777,0.0012890160081465,True,0.05034551264491733,False
