session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage
64,748.851908,6,3,4,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1396.414,10,0.009347642604924765,0.0010025680063362298,True
65,112.199848,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,0.035650672182728806,0.0005728960036207027,True
66,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
67,146.514484,4,3,3,0,5,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1745.5175,7,0.03412631886960746,0.0007161200045258785,True
68,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.00014322400090517568,True
70,488.517435,8,1,0,0,8,6982.07,6982.07,42.8,872.75875,6982.07,6982.07,8,0.016376078778027648,0.0011457920072414055,True
39,6.911374,6,2,2,1,8,6982.07,6982.07,42.79999999999999,1163.6783333333333,3491.035,2327.3566666666666,9,1.1575122399684925,0.0011457920072414055,True
40,1715.608492,35,4,8,0,36,6982.07,6982.07,42.8,199.48771428571428,1745.5175,775.7855555555556,43,0.020983808466716308,0.005156064032586325,True
41,1.0,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,5.0,0.0007161200045258785,True
42,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
43,2348.119522,23,6,8,0,24,6982.07,6982.07,42.8,303.5682608695652,1163.6783333333333,775.7855555555556,31,0.010220944792264285,0.0034373760217242164,True
44,1760.202533,14,6,8,0,15,6982.07,6982.07,42.8,498.7192857142857,1163.6783333333333,775.7855555555556,22,0.008521746627892167,0.0021483600135776353,True
75,317.374383,3,2,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,3491.035,4,0.012603411662244964,0.0005728960036207027,True
76,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.00014322400090517568,True
77,1109.614066,7,3,4,2,8,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1396.414,13,0.00720971394030616,0.0011457920072414055,True
78,2260.44683,9,3,3,0,10,6982.07,6982.07,42.8,775.7855555555556,2327.3566666666666,1745.5175,12,0.004423904100411865,0.001432240009051757,True
80,73.349988,4,3,4,1,6,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1396.414,9,0.08179960438439336,0.0008593440054310541,True
81,207.429685,16,2,3,0,17,6982.07,6982.07,42.8,436.379375,3491.035,1745.5175,19,0.08195548289050335,0.0024348080153879866,True
82,69.813045,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.07161985270804332,0.0007161200045258785,True
83,73.295929,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0409299676111616,0.00042967200271552705,True
84,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
85,665.432265,7,3,3,0,8,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1745.5175,10,0.012022260447500242,0.0011457920072414055,True
86,47.559676,3,2,3,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,6,0.08410486227870853,0.0005728960036207027,True
55,925.115684,7,5,6,2,9,6982.07,6982.07,42.8,997.4385714285714,1396.414,997.4385714285714,15,0.009728513045077722,0.0012890160081465813,True
56,139.681278,7,2,2,0,8,6982.07,6982.07,42.8,997.4385714285714,3491.035,2327.3566666666666,9,0.05727324459330906,0.0011457920072414055,True
57,73.550893,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.04078808397336522,0.00042967200271552705,True
58,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
