session_id,session_duration,pages_visited,domain_switches,category_switches,complexity,engagement,dominant_category
525,1.0,1,0,0,1,low,search
526,34.499666,3,0,0,3,low,search
527,114.977036,3,1,1,7,medium,search
528,1.0,6,2,0,10,medium,search
529,2.133439,3,1,1,7,medium,other
530,1254.335554,43,11,2,69,high,search
531,1.0,3,0,0,3,low,search
532,7.697996,2,0,0,2,low,search
533,1.0,1,0,0,1,low,other
534,275.895339,9,4,3,23,high,search
535,87.161635,2,1,0,4,low,other
536,1.64519,4,1,1,8,medium,other
537,674.989222,6,1,0,8,medium,other
538,1.0,1,0,0,1,low,search
539,158.962321,2,1,0,4,low,other
540,61.880671,10,0,0,10,medium,other
541,1.0,3,1,1,7,medium,shopping
542,8.860966,3,1,1,7,medium,search
543,21.462615,8,3,3,20,high,other
544,1.848011,6,0,0,6,medium,search
545,994.403864,16,1,1,20,high,other
546,858.214808,111,17,5,155,high,search
547,1.0,2,0,0,2,low,other
548,1.0,2,0,0,2,low,search
549,22.635698,3,2,0,7,medium,other
550,1.0,1,0,0,1,low,other
551,1432.82331,32,3,3,44,high,other
552,988.215665,24,9,6,54,high,search
553,756.589745,4,0,0,4,low,search
554,63.117754,14,6,2,30,high,search
555,107.788591,5,1,1,9,medium,search
556,40.130104,4,2,2,12,medium,other
557,1442.180271,9,5,5,29,high,other
558,1.0,1,0,0,1,low,other
559,197.274209,8,0,0,8,medium,other
560,97.44955,7,2,2,15,high,other
561,20.387106,15,10,9,53,high,search
562,1.0,2,0,0,2,low,other
563,1.0,1,0,0,1,low,other
564,1.0,3,1,1,7,medium,search
565,1.0,1,0,0,1,low,other
566,678.569837,7,4,1,17,high,other
567,54.967403,4,1,1,8,medium,entertainment
568,68.905192,3,1,0,5,medium,other
569,1.0,1,0,0,1,low,other
570,1003.948885,25,7,1,41,high,other
571,116.496341,2,1,1,6,medium,entertainment
572,1808.422279,15,5,5,35,high,other
573,1.0,1,0,0,1,low,search
574,400.824089,2,1,1,6,medium,other
575,544.988978,16,7,7,44,high,other
576,1601.065366,21,14,0,49,high,other
577,906.51952,4,2,1,10,medium,other
578,215.400794,3,2,0,7,medium,other
579,1.0,3,1,1,7,medium,search
580,499.100597,14,6,2,30,high,search
581,828.565997,31,9,4,57,high,search
582,125.005716,2,0,0,2,low,other
583,1.0,1,0,0,1,low,other
584,364.022569,11,6,3,29,high,other
585,654.893487,23,10,8,59,high,search
586,335.553263,13,6,5,35,high,search
587,894.922092,9,2,2,17,high,search
588,1675.049459,28,12,9,70,high,search
589,733.414495,13,0,0,13,medium,search
