Country,Child_Malnutrition,Adult_Malnutrition
Spain,1.1914738587878788,1.6193465457575758
Sri Lanka,18.638681676767675,15.571583454545454
Sudan,13.826450472727274,16.042222424242425
Suriname,4.564637993939394,7.134308539393939
Sweden,1.648299728989899,1.3377719466666669
Switzerland,1.535670102020202,2.6061383854545457
Syrian Arab Republic,5.156308872727273,3.192154266666667
Tajikistan,6.908595157575758,4.508806769696969
"Tanzania, United Republic of",6.696665295959597,10.865856036363637
Thailand,7.806811700000001,7.004319560606061
Timor-Leste,15.356056474747476,22.329729090909094
Togo,5.638940448484849,8.203652084848484
Tokelau,1.0200783922222223,0.54528432
Tonga,0.4335798285858586,0.2688676166666667
Trinidad and Tobago,9.459720775757576,6.11262713939394
Tunisia,4.825150664646465,4.063780166666667
Turkmenistan,4.837292791919192,3.3000063333333336
Tuvalu,1.6444334672727274,0.7128542112121212
Türkiye,2.072910963636364,2.2171416181818184
Uganda,6.724750243434343,11.184683939393938
Ukraine,5.014974675757576,1.5776968030303031
United Arab Emirates,3.555758585858586,2.6746390818181816
United Kingdom,1.385221748989899,1.5534975727272726
United States,1.1806283880808082,1.6521108454545455
Upper Middle Income,4.3412696858585855,4.880162069696969
Uruguay,1.1792365981818183,2.2356915454545456
Uzbekistan,3.3291246151515153,2.768746778787879
Vanuatu,2.220829690909091,2.4880481878787877
"Venezuela, Bolivarian Republic of",2.314798923232323,3.899551778787879
Viet Nam,12.043745471717171,15.58087506060606
Western Pacific Region,5.01291902020202,6.096773606060607
Yemen,14.992806858585858,13.854113575757575
Zambia,4.498303995959596,9.243284181818181
Zimbabwe,5.886183270707071,7.4863791424242425
